Sept. 7, 2022   15:50:39
Cyclic Voltammetry
0.131, -4.182e-3
0.132, -4.180e-3
0.133, -4.179e-3
0.134, -4.179e-3
0.135, -4.177e-3
0.136, -4.176e-3
0.137, -4.175e-3
0.138, -4.174e-3
0.139, -4.173e-3
0.140, -4.171e-3
0.141, -4.170e-3
0.142, -4.169e-3
0.143, -4.168e-3
0.144, -4.167e-3
0.145, -4.167e-3
0.146, -4.165e-3
0.147, -4.163e-3
0.148, -4.162e-3
0.149, -4.160e-3
0.150, -4.159e-3
0.151, -4.158e-3
0.152, -4.158e-3
0.153, -4.156e-3
0.154, -4.153e-3
0.155, -4.152e-3
0.156, -4.153e-3
0.157, -4.151e-3
0.158, -4.150e-3
0.159, -4.146e-3
0.160, -4.145e-3
0.161, -4.146e-3
0.162, -4.144e-3
0.163, -4.144e-3
0.164, -4.141e-3
0.165, -4.141e-3
0.166, -4.139e-3
0.167, -4.137e-3
0.168, -4.136e-3
0.169, -4.134e-3
0.170, -4.131e-3
0.171, -4.131e-3
0.172, -4.127e-3
0.173, -4.128e-3
0.174, -4.126e-3
0.175, -4.124e-3
0.176, -4.124e-3
0.177, -4.121e-3
0.178, -4.119e-3
0.179, -4.118e-3
0.180, -4.116e-3
0.181, -4.116e-3
0.182, -4.115e-3
0.183, -4.112e-3
0.184, -4.110e-3
0.185, -4.108e-3
0.186, -4.105e-3
0.187, -4.105e-3
0.188, -4.101e-3
0.189, -4.099e-3
0.190, -4.098e-3
0.191, -4.095e-3
0.192, -4.094e-3
0.193, -4.091e-3
0.194, -4.088e-3
0.195, -4.088e-3
0.196, -4.084e-3
0.197, -4.079e-3
0.198, -4.078e-3
0.199, -4.076e-3
0.200, -4.187e-3
0.199, -4.303e-3
0.198, -4.356e-3
0.197, -4.392e-3
0.196, -4.420e-3
0.195, -4.444e-3
0.194, -4.465e-3
0.193, -4.480e-3
0.192, -4.494e-3
0.191, -4.507e-3
0.190, -4.516e-3
0.189, -4.528e-3
0.188, -4.537e-3
0.187, -4.543e-3
0.186, -4.551e-3
0.185, -4.557e-3
0.184, -4.562e-3
0.183, -4.568e-3
0.182, -4.572e-3
0.181, -4.577e-3
0.180, -4.581e-3
0.179, -4.583e-3
0.178, -4.586e-3
0.177, -4.589e-3
0.176, -4.591e-3
0.175, -4.593e-3
0.174, -4.596e-3
0.173, -4.597e-3
0.172, -4.599e-3
0.171, -4.600e-3
0.170, -4.599e-3
0.169, -4.601e-3
0.168, -4.601e-3
0.167, -4.601e-3
0.166, -4.603e-3
0.165, -4.604e-3
0.164, -4.605e-3
0.163, -4.604e-3
0.162, -4.604e-3
0.161, -4.604e-3
0.160, -4.606e-3
0.159, -4.606e-3
0.158, -4.606e-3
0.157, -4.605e-3
0.156, -4.605e-3
0.155, -4.608e-3
0.154, -4.608e-3
0.153, -4.608e-3
0.152, -4.608e-3
0.151, -4.606e-3
0.150, -4.607e-3
0.149, -4.606e-3
0.148, -4.608e-3
0.147, -4.607e-3
0.146, -4.608e-3
0.145, -4.608e-3
0.144, -4.606e-3
0.143, -4.606e-3
0.142, -4.608e-3
0.141, -4.608e-3
0.140, -4.608e-3
0.139, -4.607e-3
0.138, -4.608e-3
0.137, -4.609e-3
0.136, -4.608e-3
0.135, -4.609e-3
0.134, -4.609e-3
0.133, -4.609e-3
0.132, -4.608e-3
0.131, -4.609e-3
0.130, -4.611e-3
0.129, -4.610e-3
0.128, -4.609e-3
0.127, -4.609e-3
0.126, -4.610e-3
0.125, -4.609e-3
0.124, -4.610e-3
0.123, -4.610e-3
0.122, -4.611e-3
0.121, -4.611e-3
0.120, -4.611e-3
0.119, -4.612e-3
0.118, -4.610e-3
0.117, -4.612e-3
0.116, -4.613e-3
0.115, -4.610e-3
0.114, -4.611e-3
0.113, -4.612e-3
0.112, -4.610e-3
0.111, -4.613e-3
0.110, -4.614e-3
0.109, -4.614e-3
0.108, -4.614e-3
0.107, -4.615e-3
0.106, -4.615e-3
0.105, -4.615e-3
0.104, -4.617e-3
0.103, -4.617e-3
0.102, -4.618e-3
0.101, -4.618e-3
0.100, -4.520e-3
0.101, -4.425e-3
0.102, -4.383e-3
0.103, -4.355e-3
0.104, -4.332e-3
0.105, -4.315e-3
0.106, -4.299e-3
0.107, -4.288e-3
0.108, -4.275e-3
0.109, -4.266e-3
0.110, -4.259e-3
0.111, -4.251e-3
0.112, -4.243e-3
0.113, -4.238e-3
0.114, -4.232e-3
0.115, -4.227e-3
0.116, -4.223e-3
0.117, -4.218e-3
0.118, -4.216e-3
0.119, -4.212e-3
0.120, -4.210e-3
0.121, -4.205e-3
0.122, -4.202e-3
0.123, -4.199e-3
0.124, -4.198e-3
0.125, -4.195e-3
0.126, -4.194e-3
0.127, -4.193e-3
0.128, -4.192e-3
0.129, -4.191e-3
0.130, -4.189e-3
0.131, -4.188e-3
0.132, -4.185e-3
0.133, -4.184e-3
0.134, -4.182e-3
0.135, -4.180e-3
0.136, -4.179e-3
0.137, -4.181e-3
0.138, -4.178e-3
0.139, -4.176e-3
0.140, -4.175e-3
0.141, -4.174e-3
0.142, -4.172e-3
0.143, -4.170e-3
0.144, -4.170e-3
0.145, -4.169e-3
0.146, -4.167e-3
0.147, -4.166e-3
0.148, -4.166e-3
0.149, -4.165e-3
0.150, -4.163e-3
0.151, -4.161e-3
0.152, -4.160e-3
0.153, -4.161e-3
0.154, -4.159e-3
0.155, -4.159e-3
0.156, -4.157e-3
0.157, -4.155e-3
0.158, -4.154e-3
0.159, -4.152e-3
0.160, -4.151e-3
0.161, -4.149e-3
0.162, -4.147e-3
0.163, -4.147e-3
0.164, -4.144e-3
0.165, -4.144e-3
0.166, -4.143e-3
0.167, -4.141e-3
0.168, -4.140e-3
0.169, -4.138e-3
0.170, -4.136e-3
0.171, -4.136e-3
0.172, -4.134e-3
0.173, -4.133e-3
0.174, -4.131e-3
0.175, -4.127e-3
0.176, -4.127e-3
0.177, -4.127e-3
0.178, -4.125e-3
0.179, -4.124e-3
0.180, -4.121e-3
0.181, -4.118e-3
0.182, -4.118e-3
0.183, -4.116e-3
0.184, -4.116e-3
0.185, -4.113e-3
0.186, -4.112e-3
0.187, -4.109e-3
0.188, -4.106e-3
0.189, -4.105e-3
0.190, -4.103e-3
0.191, -4.101e-3
0.192, -4.099e-3
0.193, -4.095e-3
0.194, -4.093e-3
0.195, -4.092e-3
0.196, -4.089e-3
0.197, -4.087e-3
0.198, -4.085e-3
0.199, -4.082e-3
0.200, -4.192e-3
0.199, -4.306e-3
0.198, -4.363e-3
0.197, -4.399e-3
0.196, -4.426e-3
0.195, -4.448e-3
0.194, -4.467e-3
0.193, -4.484e-3
0.192, -4.497e-3
0.191, -4.510e-3
0.190, -4.522e-3
0.189, -4.529e-3
0.188, -4.540e-3
0.187, -4.548e-3
0.186, -4.553e-3
0.185, -4.561e-3
0.184, -4.566e-3
0.183, -4.571e-3
0.182, -4.574e-3
0.181, -4.579e-3
0.180, -4.584e-3
0.179, -4.586e-3
0.178, -4.589e-3
0.177, -4.592e-3
0.176, -4.591e-3
0.175, -4.595e-3
0.174, -4.598e-3
0.173, -4.600e-3
0.172, -4.600e-3
0.171, -4.601e-3
0.170, -4.603e-3
0.169, -4.605e-3
0.168, -4.605e-3
0.167, -4.607e-3
0.166, -4.605e-3
0.165, -4.607e-3
0.164, -4.608e-3
0.163, -4.607e-3
0.162, -4.609e-3
0.161, -4.610e-3
0.160, -4.609e-3
0.159, -4.611e-3
0.158, -4.610e-3
0.157, -4.610e-3
0.156, -4.613e-3
0.155, -4.612e-3
0.154, -4.610e-3
0.153, -4.612e-3
0.152, -4.612e-3
0.151, -4.613e-3
0.150, -4.613e-3
0.149, -4.612e-3
0.148, -4.611e-3
0.147, -4.611e-3
0.146, -4.611e-3
0.145, -4.613e-3
0.144, -4.610e-3
0.143, -4.612e-3
0.142, -4.610e-3
0.141, -4.612e-3
0.140, -4.612e-3
0.139, -4.613e-3
0.138, -4.611e-3
0.137, -4.612e-3
0.136, -4.611e-3
0.135, -4.611e-3
0.134, -4.611e-3
0.133, -4.610e-3
0.132, -4.613e-3
0.131, -4.612e-3
0.130, -4.612e-3
0.129, -4.614e-3
0.128, -4.612e-3
0.127, -4.613e-3
0.126, -4.612e-3
0.125, -4.612e-3
0.124, -4.614e-3
0.123, -4.612e-3
0.122, -4.613e-3
0.121, -4.612e-3
0.120, -4.613e-3
0.119, -4.615e-3
0.118, -4.614e-3
0.117, -4.614e-3
0.116, -4.616e-3
0.115, -4.615e-3
0.114, -4.616e-3
0.113, -4.616e-3
0.112, -4.616e-3
0.111, -4.616e-3
0.110, -4.617e-3
0.109, -4.617e-3
0.108, -4.619e-3
0.107, -4.619e-3
0.106, -4.619e-3
0.105, -4.618e-3
0.104, -4.619e-3
0.103, -4.619e-3
0.102, -4.621e-3
0.101, -4.620e-3
0.100, -4.524e-3
0.101, -4.427e-3
0.102, -4.384e-3
0.103, -4.354e-3
0.104, -4.335e-3
0.105, -4.316e-3
0.106, -4.300e-3
0.107, -4.289e-3
0.108, -4.278e-3
0.109, -4.268e-3
0.110, -4.260e-3
0.111, -4.252e-3
0.112, -4.245e-3
0.113, -4.240e-3
0.114, -4.234e-3
0.115, -4.231e-3
0.116, -4.227e-3
0.117, -4.223e-3
0.118, -4.217e-3
0.119, -4.215e-3
0.120, -4.213e-3
0.121, -4.208e-3
0.122, -4.208e-3
0.123, -4.204e-3
0.124, -4.201e-3
0.125, -4.197e-3
0.126, -4.197e-3
0.127, -4.196e-3
0.128, -4.196e-3
0.129, -4.193e-3
0.130, -4.190e-3
0.131, -4.190e-3
0.132, -4.188e-3
0.133, -4.186e-3
0.134, -4.186e-3
0.135, -4.183e-3
0.136, -4.183e-3
0.137, -4.181e-3
0.138, -4.179e-3
0.139, -4.177e-3
0.140, -4.177e-3
0.141, -4.176e-3
0.142, -4.173e-3
0.143, -4.172e-3
0.144, -4.172e-3
0.145, -4.172e-3
0.146, -4.171e-3
0.147, -4.169e-3
0.148, -4.167e-3
0.149, -4.165e-3
0.150, -4.164e-3
0.151, -4.162e-3
0.152, -4.165e-3
0.153, -4.163e-3
0.154, -4.161e-3
0.155, -4.159e-3
0.156, -4.156e-3
0.157, -4.155e-3
0.158, -4.156e-3
0.159, -4.155e-3
0.160, -4.153e-3
0.161, -4.151e-3
0.162, -4.149e-3
0.163, -4.149e-3
0.164, -4.148e-3
0.165, -4.145e-3
0.166, -4.145e-3
0.167, -4.140e-3
0.168, -4.140e-3
0.169, -4.140e-3
0.170, -4.139e-3
0.171, -4.138e-3
0.172, -4.135e-3
0.173, -4.134e-3
0.174, -4.134e-3
0.175, -4.131e-3
0.176, -4.134e-3
0.177, -4.130e-3
0.178, -4.128e-3
0.179, -4.128e-3
0.180, -4.127e-3
0.181, -4.123e-3
0.182, -4.123e-3
0.183, -4.120e-3
0.184, -4.118e-3
0.185, -4.117e-3
0.186, -4.114e-3
0.187, -4.113e-3
0.188, -4.112e-3
0.189, -4.109e-3
0.190, -4.106e-3
0.191, -4.105e-3
0.192, -4.105e-3
0.193, -4.102e-3
0.194, -4.100e-3
0.195, -4.098e-3
0.196, -4.094e-3
0.197, -4.094e-3
0.198, -4.092e-3
0.199, -4.089e-3
0.200, -4.200e-3
0.199, -4.316e-3
0.198, -4.367e-3
0.197, -4.403e-3
0.196, -4.432e-3
0.195, -4.455e-3
0.194, -4.473e-3
0.193, -4.489e-3
0.192, -4.503e-3
0.191, -4.516e-3
0.190, -4.525e-3
0.189, -4.536e-3
0.188, -4.543e-3
0.187, -4.552e-3
0.186, -4.558e-3
0.185, -4.564e-3
0.184, -4.570e-3
0.183, -4.575e-3
0.182, -4.580e-3
0.181, -4.583e-3
0.180, -4.587e-3
0.179, -4.589e-3
0.178, -4.593e-3
0.177, -4.596e-3
0.176, -4.597e-3
0.175, -4.600e-3
0.174, -4.603e-3
0.173, -4.602e-3
0.172, -4.604e-3
0.171, -4.607e-3
0.170, -4.607e-3
0.169, -4.609e-3
0.168, -4.608e-3
0.167, -4.609e-3
0.166, -4.611e-3
0.165, -4.612e-3
0.164, -4.614e-3
0.163, -4.611e-3
0.162, -4.613e-3
0.161, -4.614e-3
0.160, -4.612e-3
0.159, -4.614e-3
0.158, -4.612e-3
0.157, -4.610e-3
0.156, -4.612e-3
0.155, -4.614e-3
0.154, -4.613e-3
0.153, -4.613e-3
0.152, -4.614e-3
0.151, -4.615e-3
0.150, -4.614e-3
0.149, -4.616e-3
0.148, -4.615e-3
0.147, -4.616e-3
0.146, -4.614e-3
0.145, -4.614e-3
0.144, -4.612e-3
0.143, -4.613e-3
0.142, -4.613e-3
0.141, -4.614e-3
0.140, -4.614e-3
0.139, -4.614e-3
0.138, -4.613e-3
0.137, -4.614e-3
0.136, -4.613e-3
0.135, -4.614e-3
0.134, -4.615e-3
0.133, -4.615e-3
0.132, -4.617e-3
0.131, -4.614e-3
0.130, -4.615e-3
0.129, -4.616e-3
0.128, -4.616e-3
0.127, -4.618e-3
0.126, -4.616e-3
0.125, -4.616e-3
0.124, -4.617e-3
0.123, -4.615e-3
0.122, -4.617e-3
0.121, -4.617e-3
0.120, -4.618e-3
0.119, -4.617e-3
0.118, -4.617e-3
0.117, -4.619e-3
0.116, -4.619e-3
0.115, -4.619e-3
0.114, -4.619e-3
0.113, -4.621e-3
0.112, -4.619e-3
0.111, -4.621e-3
0.110, -4.622e-3
0.109, -4.620e-3
0.108, -4.622e-3
0.107, -4.622e-3
0.106, -4.622e-3
0.105, -4.624e-3
0.104, -4.623e-3
0.103, -4.622e-3
0.102, -4.624e-3
0.101, -4.623e-3
0.100, -4.527e-3
0.101, -4.432e-3
0.102, -4.390e-3
0.103, -4.361e-3
0.104, -4.339e-3
0.105, -4.322e-3
0.106, -4.308e-3
0.107, -4.296e-3
0.108, -4.284e-3
0.109, -4.274e-3
0.110, -4.266e-3
0.111, -4.257e-3
0.112, -4.253e-3
0.113, -4.245e-3
0.114, -4.241e-3
0.115, -4.237e-3
0.116, -4.232e-3
0.117, -4.228e-3
0.118, -4.225e-3
0.119, -4.221e-3
0.120, -4.219e-3
0.121, -4.215e-3
0.122, -4.210e-3
0.123, -4.210e-3
0.124, -4.207e-3
0.125, -4.206e-3
0.126, -4.204e-3
0.127, -4.201e-3
0.128, -4.200e-3
0.129, -4.198e-3
0.130, -4.196e-3
0.131, -4.196e-3
0.132, -4.193e-3
0.133, -4.193e-3
0.134, -4.190e-3
0.135, -4.187e-3
0.136, -4.189e-3
0.137, -4.188e-3
0.138, -4.187e-3
0.139, -4.186e-3
0.140, -4.183e-3
0.141, -4.181e-3
0.142, -4.179e-3
0.143, -4.177e-3
0.144, -4.177e-3
0.145, -4.176e-3
0.146, -4.175e-3
0.147, -4.175e-3
0.148, -4.172e-3
0.149, -4.172e-3
0.150, -4.171e-3
0.151, -4.169e-3
0.152, -4.170e-3
0.153, -4.168e-3
0.154, -4.165e-3
0.155, -4.166e-3
0.156, -4.164e-3
0.157, -4.162e-3
0.158, -4.161e-3
0.159, -4.159e-3
0.160, -4.158e-3
0.161, -4.157e-3
0.162, -4.156e-3
0.163, -4.154e-3
0.164, -4.155e-3
0.165, -4.152e-3
0.166, -4.150e-3
0.167, -4.149e-3
0.168, -4.149e-3
0.169, -4.147e-3
0.170, -4.147e-3
0.171, -4.143e-3
0.172, -4.142e-3
0.173, -4.142e-3
0.174, -4.139e-3
0.175, -4.139e-3
0.176, -4.138e-3
0.177, -4.135e-3
0.178, -4.133e-3
0.179, -4.133e-3
0.180, -4.132e-3
0.181, -4.128e-3
0.182, -4.127e-3
0.183, -4.125e-3
0.184, -4.123e-3
0.185, -4.122e-3
0.186, -4.120e-3
0.187, -4.118e-3
0.188, -4.114e-3
0.189, -4.116e-3
0.190, -4.114e-3
0.191, -4.109e-3
0.192, -4.108e-3
0.193, -4.106e-3
0.194, -4.103e-3
0.195, -4.104e-3
0.196, -4.099e-3
0.197, -4.098e-3
0.198, -4.097e-3
0.199, -4.092e-3
0.200, -4.202e-3
0.199, -4.317e-3
0.198, -4.371e-3
0.197, -4.407e-3
0.196, -4.434e-3
0.195, -4.456e-3
0.194, -4.474e-3
0.193, -4.492e-3
0.192, -4.506e-3
0.191, -4.519e-3
0.190, -4.529e-3
0.189, -4.538e-3
0.188, -4.547e-3
0.187, -4.554e-3
0.186, -4.561e-3
0.185, -4.569e-3
0.184, -4.572e-3
0.183, -4.577e-3
0.182, -4.581e-3
0.181, -4.585e-3
0.180, -4.590e-3
0.179, -4.594e-3
0.178, -4.595e-3
0.177, -4.597e-3
0.176, -4.600e-3
0.175, -4.604e-3
0.174, -4.603e-3
0.173, -4.608e-3
0.172, -4.609e-3
0.171, -4.610e-3
0.170, -4.611e-3
0.169, -4.611e-3
0.168, -4.612e-3
0.167, -4.613e-3
0.166, -4.614e-3
0.165, -4.613e-3
0.164, -4.614e-3
0.163, -4.614e-3
0.162, -4.615e-3
0.161, -4.616e-3
0.160, -4.615e-3
0.159, -4.616e-3
0.158, -4.617e-3
0.157, -4.618e-3
0.156, -4.617e-3
0.155, -4.617e-3
0.154, -4.618e-3
0.153, -4.616e-3
0.152, -4.618e-3
0.151, -4.619e-3
0.150, -4.617e-3
0.149, -4.618e-3
0.148, -4.619e-3
0.147, -4.618e-3
0.146, -4.616e-3
0.145, -4.620e-3
0.144, -4.617e-3
0.143, -4.618e-3
0.142, -4.616e-3
0.141, -4.615e-3
0.140, -4.617e-3
0.139, -4.616e-3
0.138, -4.618e-3
0.137, -4.618e-3
0.136, -4.616e-3
0.135, -4.616e-3
0.134, -4.616e-3
0.133, -4.618e-3
0.132, -4.620e-3
0.131, -4.619e-3
0.130, -4.619e-3
0.129, -4.619e-3
0.128, -4.618e-3
0.127, -4.618e-3
0.126, -4.619e-3
0.125, -4.620e-3
0.124, -4.620e-3
0.123, -4.618e-3
0.122, -4.618e-3
0.121, -4.621e-3
0.120, -4.619e-3
0.119, -4.621e-3
0.118, -4.620e-3
0.117, -4.619e-3
0.116, -4.620e-3
0.115, -4.621e-3
0.114, -4.622e-3
0.113, -4.624e-3
0.112, -4.622e-3
0.111, -4.624e-3
0.110, -4.625e-3
0.109, -4.624e-3
0.108, -4.625e-3
0.107, -4.626e-3
0.106, -4.625e-3
0.105, -4.627e-3
0.104, -4.628e-3
0.103, -4.628e-3
0.102, -4.628e-3
0.101, -4.630e-3
