Sept. 7, 2022   15:44:29
A.C. Impedance
File: f:\2-Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.711
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg
4.639e+2, 1.265e+0, -1.569e-1, 1.275e+0, -7.1
3.809e+2, 1.278e+0, -1.810e-1, 1.291e+0, -8.1
3.174e+2, 1.294e+0, -2.083e-1, 1.311e+0, -9.1
2.588e+2, 1.313e+0, -2.394e-1, 1.335e+0, -10.3
2.148e+2, 1.336e+0, -2.744e-1, 1.364e+0, -11.6
1.758e+2, 1.363e+0, -3.128e-1, 1.398e+0, -12.9
1.465e+2, 1.393e+0, -3.538e-1, 1.438e+0, -14.2
1.221e+2, 1.432e+0, -4.007e-1, 1.487e+0, -15.6
9.766e+1, 1.486e+0, -4.504e-1, 1.552e+0, -16.9
8.254e+1, 1.554e+0, -5.030e-1, 1.634e+0, -17.9
6.813e+1, 1.632e+0, -5.611e-1, 1.726e+0, -19.0
5.623e+1, 1.719e+0, -6.205e-1, 1.828e+0, -19.8
4.642e+1, 1.810e+0, -6.745e-1, 1.932e+0, -20.4
3.831e+1, 1.909e+0, -7.180e-1, 2.040e+0, -20.6
3.162e+1, 2.024e+0, -7.502e-1, 2.158e+0, -20.3
2.610e+1, 2.150e+0, -7.679e-1, 2.283e+0, -19.7
2.154e+1, 2.282e+0, -7.683e-1, 2.408e+0, -18.6
1.778e+1, 2.412e+0, -7.505e-1, 2.526e+0, -17.3
1.468e+1, 2.532e+0, -7.173e-1, 2.632e+0, -15.8
1.212e+1, 2.642e+0, -6.706e-1, 2.725e+0, -14.2
1.000e+1, 2.737e+0, -6.151e-1, 2.805e+0, -12.7
8.254e+0, 2.819e+0, -5.574e-1, 2.873e+0, -11.2
6.813e+0, 2.888e+0, -5.005e-1, 2.931e+0, -9.8
5.623e+0, 2.945e+0, -4.458e-1, 2.979e+0, -8.6
4.642e+0, 2.994e+0, -3.948e-1, 3.020e+0, -7.5
3.831e+0, 3.035e+0, -3.476e-1, 3.055e+0, -6.5
3.162e+0, 3.067e+0, -3.044e-1, 3.082e+0, -5.7
2.610e+0, 3.091e+0, -2.650e-1, 3.103e+0, -4.9
2.154e+0, 3.113e+0, -2.301e-1, 3.121e+0, -4.2
1.778e+0, 3.135e+0, -1.985e-1, 3.141e+0, -3.6
1.468e+0, 3.150e+0, -1.699e-1, 3.155e+0, -3.1
1.212e+0, 3.160e+0, -1.460e-1, 3.163e+0, -2.6
1.000e+0, 3.167e+0, -1.214e-1, 3.169e+0, -2.2
8.254e-1, 3.172e+0, -9.681e-2, 3.173e+0, -1.7
6.813e-1, 3.175e+0, -7.856e-2, 3.176e+0, -1.4
5.623e-1, 3.177e+0, -6.586e-2, 3.178e+0, -1.2
4.642e-1, 3.178e+0, -5.569e-2, 3.178e+0, -1.0
3.831e-1, 3.180e+0, -4.742e-2, 3.181e+0, -0.9
3.162e-1, 3.186e+0, -4.219e-2, 3.186e+0, -0.8
2.610e-1, 3.183e+0, -3.773e-2, 3.184e+0, -0.7
2.154e-1, 3.179e+0, -3.272e-2, 3.180e+0, -0.6
1.778e-1, 3.181e+0, -2.938e-2, 3.182e+0, -0.5
1.468e-1, 3.176e+0, -2.507e-2, 3.176e+0, -0.5
1.212e-1, 3.174e+0, -2.275e-2, 3.174e+0, -0.4
1.000e-1, 3.183e+0, -2.558e-2, 3.183e+0, -0.5
